Season,Race,Overtakes,TV,Percentage,raceId,circuitId,name_x,url,weather_description,weather
2005,Turkey,30,7,23.33,84,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix,Sunny; 30°C Air; 45°C Track,Dry
2005,Italy,7,3,42.86,85,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix,Sunny,Dry
2005,Belgium,33,7,21.21,86,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix,Wet and dry,Wet
2005,Brazil,6,4,66.67,87,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix,"Partially cloudy and dry, Air: 23 °C (73 °F), Track 22 °C (72 °F)",Dry
2005,Japan,15,9,60.0,88,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix,Partially cloudy and dry with temperatures reaching up to 25 °C (77 °F)[1],Dry
2005,China,17,5,29.41,89,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix,Sunny,Dry
2004,Australia,10,5,50.0,90,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,Dry and cloudyAir temperature 20 °C (68 °F),Dry
2004,Malaysia,25,9,36.0,91,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix,"Dry, light rain at the startAir Temp 34 °C (93 °F)",Wet
2004,Bahrain,22,16,72.73,92,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix,"Warm, dry and overcast",Dry
2004,San Marino,6,0,0.0,93,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix,"Clear, air temp: 22°C",Dry
2004,Spain,7,4,57.14,94,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix,Clear,Dry
2004,Monaco,5,2,40.0,95,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix,Dry and sunny,Dry
2004,Europe,13,6,46.15,96,20,European Grand Prix,http://en.wikipedia.org/wiki/2004_European_Grand_Prix,"Cloudy at start, sunny later",Dry
2004,Canada,19,2,10.53,97,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix,Clear and mild with temperatures approaching 25.0 °C (77.0 °F)Wind speeds up to 5.8 km/h (3.6 mph)[1]Track 35 °C (95 °F)[2],Dry
2004,USA,19,10,52.63,98,19,United States Grand Prix,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix,Fine with temperatures reaching up to 24 °C (75 °F);Wind speeds up to 20.55 km/h (12.77 mph)[2],Dry
2004,France,15,3,20.0,99,8,French Grand Prix,http://en.wikipedia.org/wiki/2004_French_Grand_Prix,Sunny,Dry
2004,Great Britain,15,10,66.67,100,9,British Grand Prix,http://en.wikipedia.org/wiki/2004_British_Grand_Prix,"Cloudy, Air: 17 °C (63 °F), Track 27 °C (81 °F)[2]",Dry
2004,Germany,32,15,46.88,101,10,German Grand Prix,http://en.wikipedia.org/wiki/2004_German_Grand_Prix,Sunny,Dry
2004,Hungary,5,2,40.0,102,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix,"Warm, dry and sunny, Air: 26 °C (79 °F), Track 42 °C (108 °F)",Dry
2004,Belgium,24,14,58.33,103,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix,Dry with temperatures reaching up to 15 °C (59 °F)[1],Dry
