Season,Race,Overtakes,TV,Percentage,GP_num,raceId,circuitId,name_x,url,weather
2008,Canada,24,18,75.0,7,24,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2008_Canadian_Grand_Prix,wet
2008,France,11,10,90.91,8,25,8,French Grand Prix,http://en.wikipedia.org/wiki/2008_French_Grand_Prix,wet
2008,Great Britain,47,29,61.7,9,26,9,British Grand Prix,http://en.wikipedia.org/wiki/2008_British_Grand_Prix,wet
2008,Germany,22,17,77.27,10,27,10,German Grand Prix,http://en.wikipedia.org/wiki/2008_German_Grand_Prix,wet
2008,Hungary,3,3,100.0,11,28,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2008_Hungarian_Grand_Prix,dry
2008,Europe,4,2,50.0,12,29,12,European Grand Prix,http://en.wikipedia.org/wiki/2008_European_Grand_Prix,dry
2008,Belgium,40,19,47.5,13,30,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2008_Belgian_Grand_Prix,wet
2008,Italy,48,36,75.0,14,31,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2008_Italian_Grand_Prix,wet
2008,Singapore,14,10,71.43,15,32,15,Singapore Grand Prix,http://en.wikipedia.org/wiki/2008_Singapore_Grand_Prix,wet
2008,Japan,25,12,48.0,16,33,16,Japanese Grand Prix,http://en.wikipedia.org/wiki/2008_Japanese_Grand_Prix,dry
2008,China,10,9,90.0,17,34,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2008_Chinese_Grand_Prix,dry
2008,Brazil,31,19,61.29,18,35,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2008_Brazilian_Grand_Prix,wet
2007,Australia,11,6,54.55,1,36,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2007_Australian_Grand_Prix,wet
2007,Malaysia,12,6,50.0,2,37,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2007_Malaysian_Grand_Prix,wet
2007,Bahrain,19,10,52.63,3,38,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2007_Bahrain_Grand_Prix,wet
2007,Spain,5,2,40.0,4,39,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix,wet
2007,Monaco,2,1,50.0,5,40,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2007_Monaco_Grand_Prix,dry
2007,Canada,21,17,80.95,6,41,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2007_Canadian_Grand_Prix,dry
2007,USA,18,13,72.22,7,42,19,United States Grand Prix,http://en.wikipedia.org/wiki/2007_United_States_Grand_Prix,dry
2007,France,9,6,66.67,8,43,8,French Grand Prix,http://en.wikipedia.org/wiki/2007_French_Grand_Prix,wet
2007,Great Britain,15,13,86.67,9,44,9,British Grand Prix,http://en.wikipedia.org/wiki/2007_British_Grand_Prix,dry
2007,Europe,82,33,40.24,10,45,20,European Grand Prix,http://en.wikipedia.org/wiki/2007_European_Grand_Prix,wet
2007,Hungary,5,3,60.0,11,46,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix,dry
2007,Turkey,15,3,20.0,12,47,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2007_Turkish_Grand_Prix,dry
2007,Italy,14,6,42.86,13,48,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix,dry
2007,Belgium,16,5,31.25,14,49,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2007_Belgian_Grand_Prix,dry
2007,Japan,62,22,35.48,15,50,16,Japanese Grand Prix,http://en.wikipedia.org/wiki/2007_Japanese_Grand_Prix,wet
2007,China,46,19,41.3,16,51,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix,wet
2007,Brazil,24,18,75.0,17,52,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2007_Brazilian_Grand_Prix,wet
2006,Bahrain,46,20,43.48,1,53,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2006_Bahrain_Grand_Prix,dry
2006,Malaysia,16,7,43.75,2,54,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2006_Malaysian_Grand_Prix,wet
2006,Australia,26,13,50.0,3,55,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2006_Australian_Grand_Prix,dry
2006,San Marino,2,0,0.0,4,56,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2006_San_Marino_Grand_Prix,dry
2006,Europe,10,3,30.0,5,57,20,European Grand Prix,http://en.wikipedia.org/wiki/2006_European_Grand_Prix,dry
2006,Spain,7,0,0.0,6,58,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2006_Spanish_Grand_Prix,dry
2006,Monaco,19,5,26.32,7,59,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2006_Monaco_Grand_Prix,dry
2006,Great Britain,5,1,20.0,8,60,9,British Grand Prix,http://en.wikipedia.org/wiki/2006_British_Grand_Prix,dry
2006,Canada,11,9,81.82,9,61,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2006_Canadian_Grand_Prix,dry
2006,USA,6,4,66.67,10,62,19,United States Grand Prix,http://en.wikipedia.org/wiki/2006_United_States_Grand_Prix,dry
2006,France,5,4,80.0,11,63,8,French Grand Prix,http://en.wikipedia.org/wiki/2006_French_Grand_Prix,dry
2006,Germany,20,6,30.0,12,64,10,German Grand Prix,http://en.wikipedia.org/wiki/2006_German_Grand_Prix,dry
2006,Hungary,37,15,40.54,13,65,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2006_Hungarian_Grand_Prix,wet
2006,Turkey,32,20,62.5,14,66,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2006_Turkish_Grand_Prix,dry
2006,Italy,13,2,15.38,15,67,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2006_Italian_Grand_Prix,dry
2006,China,59,31,52.54,16,68,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix,wet
2006,Japan,11,2,18.18,17,69,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2006_Japanese_Grand_Prix,dry
2006,Brazil,20,12,60.0,18,70,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2006_Brazilian_Grand_Prix,dry
2005,Australia,7,5,71.43,1,71,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2005_Australian_Grand_Prix,wet
2005,Malaysia,12,11,91.67,2,72,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2005_Malaysian_Grand_Prix,dry
2005,Bahrain,13,8,61.54,3,73,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2005_Bahrain_Grand_Prix,dry
